Tick 2734(2721), Delay 36 ms, IGT 02:15.918, RTA 10:42.496-10:42.532
Tick 2867(2854), Delay 55 ms, IGT 02:22.568, RTA 10:49.130-10:49.185
Tick 2868(2855), Delay 45 ms, IGT 02:22.618, RTA 10:49.185-10:49.230
Tick 2999(2986), Delay 67 ms, IGT 02:29.168, RTA 10:55.731-10:55.798
Tick 3000(2987), Delay 32 ms, IGT 02:29.218, RTA 10:55.798-10:55.830
Tick 3220(3207), Delay 55 ms, IGT 02:40.218, RTA 11:06.779-11:06.834
Tick 3350(3337), Delay 45 ms, IGT 02:46.718, RTA 11:13.284-11:13.329
Tick 3427(3414), Delay 60 ms, IGT 02:50.568, RTA 11:17.132-11:17.192
Tick 3428(3415), Delay 41 ms, IGT 02:50.618, RTA 11:17.192-11:17.233
Tick 3429(3415), Delay 252 ms, IGT 02:50.618, RTA 11:17.233-11:17.485
Tick 3430(3415), Delay 405837 ms, IGT 02:50.618, RTA 11:17.485-18:03.322
Tick 3432(3417), Delay 6 ms, IGT 02:50.718, RTA 18:03.373-18:03.379
Tick 3573(3558), Delay 2914534 ms, IGT 02:57.768, RTA 18:10.379-1:06:44.913
Tick 3574(3559), Delay 35 ms, IGT 02:57.818, RTA 1:06:44.913-1:06:44.948
Tick 4132(4117), Delay 55 ms, IGT 03:25.718, RTA 1:07:12.796-1:07:12.851
Tick 4133(4118), Delay 44 ms, IGT 03:25.768, RTA 1:07:12.851-1:07:12.895
Tick 4169(4154), Delay 15636 ms, IGT 03:27.568, RTA 1:07:14.648-1:07:30.284
Tick 4404(4389), Delay 63 ms, IGT 03:39.318, RTA 1:07:41.983-1:07:42.046
Tick 4405(4390), Delay 37 ms, IGT 03:39.368, RTA 1:07:42.046-1:07:42.083
Tick 4587(4572), Delay 45 ms, IGT 03:48.468, RTA 1:07:51.137-1:07:51.182
Tick 4628(4613), Delay 10468 ms, IGT 03:50.518, RTA 1:07:53.185-1:08:03.653
Tick 4935(4920), Delay 55 ms, IGT 04:05.868, RTA 1:08:18.953-1:08:19.008
Tick 5035(5020), Delay 7553 ms, IGT 04:10.868, RTA 1:08:23.955-1:08:31.508
Tick 5276(5261), Delay 1379 ms, IGT 04:22.918, RTA 1:08:43.507-1:08:44.886
Tick 5480(5465), Delay 56 ms, IGT 04:33.118, RTA 1:08:55.036-1:08:55.092
Tick 5481(5466), Delay 44 ms, IGT 04:33.168, RTA 1:08:55.092-1:08:55.136
Tick 5579(5564), Delay 4494 ms, IGT 04:38.068, RTA 1:08:59.986-1:09:04.480
Tick 5857(5842), Delay 45 ms, IGT 04:51.968, RTA 1:09:18.332-1:09:18.377
Tick 5859(5844), Delay 55 ms, IGT 04:52.068, RTA 1:09:18.427-1:09:18.482
Tick 6243(6228), Delay 55 ms, IGT 05:11.268, RTA 1:09:37.628-1:09:37.683
Tick 6354(6339), Delay 44 ms, IGT 05:16.818, RTA 1:09:43.184-1:09:43.228
Tick 6538(6523), Delay 55 ms, IGT 05:26.018, RTA 1:09:52.378-1:09:52.433
Tick 6539(6524), Delay 45 ms, IGT 05:26.068, RTA 1:09:52.433-1:09:52.478
Tick 6608(6593), Delay 55 ms, IGT 05:29.518, RTA 1:09:55.877-1:09:55.932
Tick 6635(6620), Delay 55 ms, IGT 05:30.868, RTA 1:09:57.228-1:09:57.283
Tick 7380(7365), Delay 45 ms, IGT 06:08.118, RTA 1:10:34.482-1:10:34.527
Tick 7859(7844), Delay 1700 ms, IGT 06:32.068, RTA 1:10:58.430-1:11:00.130
Tick 7977(7962), Delay 55 ms, IGT 06:37.968, RTA 1:11:05.980-1:11:06.035
Tick 8176(8161), Delay 55 ms, IGT 06:47.918, RTA 1:11:15.929-1:11:15.984
Tick 8177(8162), Delay 45 ms, IGT 06:47.968, RTA 1:11:15.984-1:11:16.029
Tick 8183(8168), Delay 6001 ms, IGT 06:48.268, RTA 1:11:16.280-1:11:22.281
Tick 8211(8196), Delay 524 ms, IGT 06:49.668, RTA 1:11:23.632-1:11:24.156
Tick 8356(8341), Delay 5255 ms, IGT 06:56.918, RTA 1:11:31.352-1:11:36.607
Tick 8569(8554), Delay 44 ms, IGT 07:07.568, RTA 1:11:47.212-1:11:47.256
Tick 8603(8588), Delay 5985 ms, IGT 07:09.268, RTA 1:11:48.908-1:11:54.893
Tick 8616(8601), Delay 56 ms, IGT 07:09.918, RTA 1:11:55.494-1:11:55.550
Tick 8617(8602), Delay 44 ms, IGT 07:09.968, RTA 1:11:55.550-1:11:55.594
Tick 8803(8788), Delay 57 ms, IGT 07:19.268, RTA 1:12:04.843-1:12:04.900
Tick 8804(8789), Delay 45 ms, IGT 07:19.318, RTA 1:12:04.900-1:12:04.945
Tick 9140(9125), Delay 30641 ms, IGT 07:36.118, RTA 1:12:21.693-1:12:52.334
Tick 9148(9133), Delay 56 ms, IGT 07:36.518, RTA 1:12:52.683-1:12:52.739
Tick 9149(9134), Delay 45 ms, IGT 07:36.568, RTA 1:12:52.739-1:12:52.784
Tick 9586(9571), Delay 55 ms, IGT 07:58.418, RTA 1:13:14.583-1:13:14.638
Tick 9587(9572), Delay 45 ms, IGT 07:58.468, RTA 1:13:14.638-1:13:14.683
Tick 9780(9765), Delay 55 ms, IGT 08:08.118, RTA 1:13:24.282-1:13:24.337
Tick 11175(11160), Delay 110 ms, IGT 09:17.868, RTA 1:14:34.033-1:14:34.143
Tick 11176(11161), Delay 34 ms, IGT 09:17.918, RTA 1:14:34.143-1:14:34.177
Tick 11177(11162), Delay 15 ms, IGT 09:17.968, RTA 1:14:34.177-1:14:34.192
Tick 11178(11163), Delay 43 ms, IGT 09:18.018, RTA 1:14:34.192-1:14:34.235
Tick 11222(11207), Delay 44 ms, IGT 09:20.218, RTA 1:14:36.388-1:14:36.432
Tick 11288(11273), Delay 55 ms, IGT 09:23.518, RTA 1:14:39.682-1:14:39.737
Tick 11289(11274), Delay 45 ms, IGT 09:23.568, RTA 1:14:39.737-1:14:39.782
Tick 11300(11285), Delay 131 ms, IGT 09:24.118, RTA 1:14:40.283-1:14:40.414
Tick 11301(11286), Delay 22 ms, IGT 09:24.168, RTA 1:14:40.414-1:14:40.436
Tick 11302(11287), Delay 0 ms, IGT 09:24.218, RTA 1:14:40.436-1:14:40.436
Tick 11310(11295), Delay 45 ms, IGT 09:24.618, RTA 1:14:40.787-1:14:40.832
Tick 11490(11475), Delay 55 ms, IGT 09:33.618, RTA 1:14:49.783-1:14:49.838
Tick 11491(11476), Delay 45 ms, IGT 09:33.668, RTA 1:14:49.838-1:14:49.883
Tick 11587(11572), Delay 163 ms, IGT 09:38.468, RTA 1:14:54.633-1:14:54.796
Tick 11588(11573), Delay 2 ms, IGT 09:38.518, RTA 1:14:54.796-1:14:54.798
Tick 11589(11574), Delay 21 ms, IGT 09:38.568, RTA 1:14:54.798-1:14:54.819
Tick 11590(11575), Delay 16 ms, IGT 09:38.618, RTA 1:14:54.819-1:14:54.835
Tick 11675(11660), Delay 109 ms, IGT 09:42.868, RTA 1:14:59.033-1:14:59.142
Tick 11676(11661), Delay 35 ms, IGT 09:42.918, RTA 1:14:59.142-1:14:59.177
Tick 11677(11662), Delay 15 ms, IGT 09:42.968, RTA 1:14:59.177-1:14:59.192
Tick 11678(11663), Delay 41 ms, IGT 09:43.018, RTA 1:14:59.192-1:14:59.233
Tick 11719(11704), Delay 61 ms, IGT 09:45.068, RTA 1:15:01.232-1:15:01.293
Tick 11720(11705), Delay 41 ms, IGT 09:45.118, RTA 1:15:01.293-1:15:01.334
Tick 11849(11834), Delay 93 ms, IGT 09:51.568, RTA 1:15:07.734-1:15:07.827
Tick 11850(11835), Delay 7 ms, IGT 09:51.618, RTA 1:15:07.827-1:15:07.834
Tick 12046(12030), Delay 42 ms, IGT 10:01.368, RTA 1:15:17.583-1:15:17.625, due world load
Tick 12047(12030), Delay 44 ms, IGT 10:01.368, RTA 1:15:17.625-1:15:17.669, due world load
Tick 12131(12114), Delay 55 ms, IGT 10:05.526, RTA 1:15:21.819-1:15:21.874
Tick 12248(12231), Delay 20973 ms, IGT 10:11.376, RTA 1:15:27.670-1:15:48.643
Tick 12255(12237), Delay 274 ms, IGT 10:11.676, RTA 1:15:48.944-1:15:49.218
Tick 12256(12237), Delay 32836 ms, IGT 10:11.676, RTA 1:15:49.218-1:16:22.054
Tick 12258(12237), Delay 31 ms, IGT 10:11.676, RTA 1:16:22.105-1:16:22.136, due world load
Tick 12293(12272), Delay 22731 ms, IGT 10:13.415, RTA 1:16:23.836-1:16:46.567
Tick 12304(12283), Delay 3047 ms, IGT 10:13.965, RTA 1:16:47.068-1:16:50.115
Tick 12305(12283), Delay 79 ms, IGT 10:13.965, RTA 1:16:50.115-1:16:50.194, due world load
Tick 12306(12284), Delay 6 ms, IGT 10:13.999, RTA 1:16:50.194-1:16:50.200
Tick 12589(12567), Delay 55 ms, IGT 10:28.149, RTA 1:17:04.300-1:17:04.355
Tick 12725(12703), Delay 55 ms, IGT 10:34.949, RTA 1:17:11.101-1:17:11.156
Tick 12737(12712), Delay 81 ms, IGT 10:35.393, RTA 1:17:11.701-1:17:11.782, due world load
Tick 12738(12713), Delay 56 ms, IGT 10:35.436, RTA 1:17:11.782-1:17:11.838
Tick 12739(12714), Delay 14 ms, IGT 10:35.486, RTA 1:17:11.838-1:17:11.852
Tick 12824(12799), Delay 45 ms, IGT 10:39.736, RTA 1:17:16.056-1:17:16.101
Tick 12944(12919), Delay 88 ms, IGT 10:45.646, RTA 1:17:22.053-1:17:22.141
Tick 12945(12920), Delay 15 ms, IGT 10:45.696, RTA 1:17:22.141-1:17:22.156
Tick 12946(12921), Delay 57 ms, IGT 10:45.746, RTA 1:17:22.156-1:17:22.213
Tick 12947(12922), Delay 41 ms, IGT 10:45.796, RTA 1:17:22.213-1:17:22.254
Tick 12977(12952), Delay 56 ms, IGT 10:47.296, RTA 1:17:23.699-1:17:23.755
Tick 12980(12955), Delay 55 ms, IGT 10:47.446, RTA 1:17:23.850-1:17:23.905
Tick 12984(12959), Delay 55 ms, IGT 10:47.646, RTA 1:17:24.049-1:17:24.104
Tick 13069(13044), Delay 56 ms, IGT 10:51.896, RTA 1:17:28.299-1:17:28.355
Tick 13070(13045), Delay 45 ms, IGT 10:51.946, RTA 1:17:28.355-1:17:28.400
